Date,prcp,Interpolated_Value
2020-05-05,,0.0
2020-05-06,0.0,0.0
2020-05-06,,0.0
2020-05-07,0.0,0.0
2020-05-07,,0.0
2020-05-08,0.0,0.0
2020-05-08,,0.0
2020-05-09,0.0,0.0
2020-05-09,,0.0
2020-05-10,0.0,0.0
2020-05-10,,0.0
2020-05-11,0.0,0.0
2020-05-11,,0.0
2020-05-12,0.0,0.0
2020-05-12,,0.0
2020-05-13,0.0,0.0
2020-05-13,,0.0
2020-05-14,0.0,0.0
2020-05-14,,0.0
2020-05-15,0.0,0.0
2020-05-15,,0.0
2020-05-16,0.0,18.8
2020-05-16,,18.8
2020-05-17,18.8,23.0
2020-05-17,,23.0
2020-05-18,23.0,1.4
2020-05-18,,1.4
2020-05-19,1.4,0.0
2020-05-19,,0.0
2020-05-20,0.0,0.0
2020-05-20,,0.0
2020-05-21,0.0,0.0
2020-05-21,,0.0
2020-05-22,0.0,0.0
2020-05-22,,0.0
2020-05-23,0.0,0.0
2020-05-23,,0.0
2020-05-24,,0.0
2020-05-24,0.0,0.0
2020-05-25,,0.0
2020-05-25,0.0,0.0
2020-05-26,,0.5
2020-05-26,0.0,0.5
2020-05-27,,0.1
2020-05-27,0.5,0.1
2020-05-28,0.1,0.0
2020-05-28,,0.0
2020-05-29,0.0,0.0
2020-05-29,,0.0
2020-05-30,0.0,0.7
2020-05-30,,0.7
2020-05-31,,0.3
2020-05-31,0.7,0.3
2020-06-01,,0.0
2020-06-01,0.3,0.0
2020-06-02,,0.0
2020-06-02,0.0,0.0
2020-06-03,,0.0
2020-06-03,0.0,0.0
2020-06-04,,0.0
2020-06-04,0.0,0.0
2020-06-05,0.0,0.0
2020-06-05,,0.0
2020-06-06,,0.0
2020-06-06,0.0,0.0
2020-06-07,0.0,0.0
2020-06-07,,0.0
2020-06-08,0.0,0.8
2020-06-08,,0.8
2020-06-09,0.8,13.8
2020-06-09,,13.8
2020-06-10,,17.3
2020-06-10,13.8,17.3
2020-06-11,,1.7
2020-06-11,17.3,1.7
2020-06-12,1.7,6.2
2020-06-12,,6.2
2020-06-13,,0.2
2020-06-13,6.2,0.2
2020-06-14,,1.6
2020-06-14,0.2,1.6
2020-06-15,,0.8
2020-06-15,1.6,0.8
2020-06-16,0.8,27.4
2020-06-16,,27.4
2020-06-17,,10.1
2020-06-17,27.4,10.1
2020-06-18,10.1,3.1
2020-06-18,,3.1
2020-06-19,,0.7
2020-06-19,3.1,0.7
2020-06-20,0.7,0.3
2020-06-20,,0.3
2020-06-21,,2.7
2020-06-21,0.3,2.7
2020-06-22,2.7,2.2
2020-06-22,,2.2
2020-06-23,,0.4
2020-06-23,2.2,0.4
2020-06-24,,0.7
2020-06-24,0.4,0.7
2020-06-25,0.7,1.9
2020-06-25,,1.9
2020-06-26,1.9,0.4
2020-06-26,,0.4
2020-06-27,0.4,0.0
2020-06-27,,0.0
2020-06-28,,0.0
2020-06-28,0.0,0.0
2020-06-29,0.0,0.1
2020-06-29,,0.1
2020-06-30,0.1,0.0
2020-06-30,,0.0
2020-07-01,0.0,1.6
2020-07-01,,1.6
2020-07-02,1.6,0.0
2020-07-02,,0.0
2020-07-03,,0.0
2020-07-03,0.0,0.0
2020-07-04,,0.0
2020-07-04,0.0,0.0
2020-07-05,,0.0
2020-07-05,0.0,0.0
2020-07-06,0.0,0.3
2020-07-06,,0.3
2020-07-07,,5.6
2020-07-07,0.3,5.6
2020-07-08,5.6,3.0
2020-07-08,,3.0
2020-07-09,3.0,22.9
2020-07-09,,22.9
2020-07-10,,4.4
2020-07-10,22.9,4.4
2020-07-11,,2.7
2020-07-11,4.4,2.7
2020-07-12,,0.6
2020-07-12,2.7,0.6
2020-07-13,0.6,1.1
2020-07-13,,1.1
2020-07-14,,0.7
2020-07-14,1.1,0.7
2020-07-15,,5.1
2020-07-15,0.7,5.1
2020-07-16,5.1,41.0
2020-07-16,,41.0
2020-07-17,41.0,9.8
2020-07-17,,9.8
2020-07-18,9.8,6.8
2020-07-18,,6.8
2020-07-19,6.8,11.6
2020-07-19,,11.6
2020-07-20,11.6,9.3
2020-07-20,,9.3
2020-07-21,9.3,6.6
2020-07-21,,6.6
2020-07-22,,4.5
2020-07-22,6.6,4.5
2020-07-23,,0.6
2020-07-23,4.5,0.6
2020-07-24,0.6,3.4
2020-07-24,,3.4
2020-07-25,3.4,34.3
2020-07-25,,34.3
2020-07-26,,22.0
2020-07-26,34.3,22.0
2020-07-27,22.0,52.2
2020-07-27,,52.2
2020-07-28,52.2,3.5
2020-07-28,,3.5
2020-07-29,,14.5
2020-07-29,3.5,14.5
2020-07-30,,11.2
2020-07-30,14.5,11.2
2020-07-31,11.2,1.1
2020-07-31,,1.1
2020-08-01,1.1,0.3
2020-08-01,,0.3
2020-08-02,,0.9
2020-08-02,0.3,0.9
2020-08-03,0.9,1.1
2020-08-03,,1.1
2020-08-04,,5.9
2020-08-04,1.1,5.9
2020-08-05,,14.6
2020-08-05,5.9,14.6
2020-08-06,,13.9
2020-08-06,14.6,13.9
2020-08-07,,18.2
2020-08-07,13.9,18.2
2020-08-08,18.2,20.7
2020-08-08,,20.7
2020-08-09,,0.5
2020-08-09,20.7,0.5
2020-08-10,,0.0
2020-08-10,0.5,0.0
2020-08-11,,0.0
2020-08-11,0.0,0.0
2020-08-12,0.0,0.1
2020-08-12,,0.1
2020-08-13,,0.4
2020-08-13,0.1,0.4
2020-08-14,,0.2
2020-08-14,0.4,0.2
2020-08-15,,0.5
2020-08-15,0.2,0.5
2020-08-16,0.5,7.5
2020-08-16,,7.5
2020-08-17,7.5,19.9
2020-08-17,,19.9
2020-08-18,,22.8
2020-08-18,19.9,22.8
2020-08-19,,5.7
2020-08-19,22.8,5.7
2020-08-20,,7.7
2020-08-20,5.7,7.7
2020-08-21,7.7,6.4
2020-08-21,,6.4
2020-08-22,6.4,2.5
2020-08-22,,2.5
2020-08-23,,6.5
2020-08-23,2.5,6.5
2020-08-24,,0.0
2020-08-24,6.5,0.0
2020-08-25,0.0,0.0
2020-08-25,,0.0
2020-08-26,0.0,1.3
2020-08-26,,1.3
2020-08-27,,10.5
2020-08-27,1.3,10.5
2020-08-28,,13.5
2020-08-28,10.5,13.5
2020-08-29,,6.0
2020-08-29,13.5,6.0
2020-08-30,6.0,3.3
2020-08-30,,3.3
2020-08-31,3.3,1.5
2020-08-31,,1.5
2020-09-01,,9.7
2020-09-01,1.5,9.7
2020-09-02,9.7,5.8
2020-09-02,,5.8
2020-09-03,5.8,1.4
2020-09-03,,1.4
2020-09-04,,2.3
2020-09-04,1.4,2.3
2020-09-05,,1.1
2020-09-05,2.3,1.1
2020-09-06,,5.4
2020-09-06,1.1,5.4
2020-09-07,,8.6
2020-09-07,5.4,8.6
2020-09-08,,17.9
2020-09-08,8.6,17.9
2020-09-09,,6.7
2020-09-09,17.9,6.7
2020-09-10,,17.0
2020-09-10,6.7,17.0
2020-09-11,,6.4
2020-09-11,17.0,6.4
2020-09-12,,7.2
2020-09-12,6.4,7.2
2020-09-13,,46.1
2020-09-13,7.2,46.1
2020-09-14,,65.2
2020-09-14,46.1,65.2
2020-09-15,,8.3
2020-09-15,65.2,8.3
2020-09-16,,1.0
2020-09-16,8.3,1.0
2020-09-17,1.0,0.1
2020-09-17,,0.1
2020-09-18,0.1,0.7
2020-09-18,,0.7
2020-09-19,,7.9
2020-09-19,0.7,7.9
2020-09-20,7.9,2.2
2020-09-20,,2.2
2020-09-21,2.2,3.7
2020-09-21,,3.7
2020-09-22,,21.1
2020-09-22,3.7,21.1
2020-09-23,,40.9
2020-09-23,21.1,40.9
2020-09-24,40.9,21.2
2020-09-24,,21.2
2020-09-25,21.2,1.0
2020-09-25,,1.0
2020-09-26,,0.3
2020-09-26,1.0,0.3
2020-09-27,,0.1
2020-09-27,0.3,0.1
2020-09-28,,0.5
2020-09-28,0.1,0.5
2020-09-29,0.5,1.0
2020-09-29,,1.0
2020-09-30,,1.9
2020-09-30,1.0,1.9
2020-10-01,,0.1
2020-10-01,1.9,0.1
2020-10-02,,0.7
2020-10-02,0.1,0.7
2020-10-03,,1.8
2020-10-03,0.7,1.8
2020-10-04,,1.3
2020-10-04,1.8,1.3
2020-10-05,1.3,0.8
2020-10-05,,0.8
2020-10-06,0.8,0.0
2020-10-06,,0.0
2020-10-07,,0.0
2020-10-07,0.0,0.0
2020-10-08,0.0,0.0
2020-10-08,,0.0
2020-10-09,0.0,0.2
2020-10-09,,0.2
2020-10-10,0.2,0.0
2020-10-10,,0.0
2020-10-11,0.0,0.0
2020-10-11,,0.0
2020-10-12,0.0,0.0
2020-10-12,,0.0
2020-10-13,0.0,0.0
2020-10-13,,0.0
2020-10-14,0.0,6.9
2020-10-14,,6.9
2020-10-15,6.9,16.4
2020-10-15,,16.4
2020-10-16,,10.3
2020-10-16,16.4,10.3
2020-10-17,,27.7
2020-10-17,10.3,27.7
2020-10-18,,0.0
2020-10-18,27.7,0.0
2020-10-19,,0.0
2020-10-19,0.0,0.0
2020-10-20,0.0,0.0
2020-10-20,,0.0
2020-10-21,,0.0
2020-10-21,0.0,0.0
2020-10-22,0.0,0.0
2020-10-22,,0.0
2020-10-23,,0.0
2020-10-23,0.0,0.0
2020-10-24,,0.0
2020-10-24,0.0,0.0
2020-10-25,0.0,0.0
2020-10-25,,0.0
2020-10-26,0.0,0.0
2020-10-26,,0.0
2020-10-27,0.0,0.0
2020-10-27,,0.0
2020-10-28,0.0,0.0
2020-10-28,,0.0
2020-10-29,,0.0
2020-10-29,0.0,0.0
2020-10-30,,0.0
2020-10-30,0.0,0.0
2020-10-31,0.0,0.0
2020-10-31,,0.0
2020-11-01,0.0,0.0
2020-11-01,,0.0
2020-11-02,0.0,0.0
2020-11-02,,0.0
2020-11-03,0.0,0.0
2020-11-03,,0.0
2020-11-04,0.0,0.0
2020-11-04,,0.0
2020-11-05,,0.0
2020-11-05,0.0,0.0
2020-11-06,0.0,0.0
2020-11-06,,0.0
2020-11-07,,0.0
2020-11-07,0.0,0.0
2020-11-08,,0.0
2020-11-08,0.0,0.0
2020-11-09,,0.0
2020-11-09,0.0,0.0
2020-11-10,0.0,0.0
2020-11-10,,0.0
2020-11-11,,0.0
2020-11-11,0.0,0.0
2020-11-12,,0.0
2020-11-12,0.0,0.0
2020-11-13,0.0,0.0
2020-11-13,,0.0
2020-11-14,0.0,0.0
2020-11-14,,0.0
2020-11-15,0.0,0.0
2020-11-15,,0.0
2020-11-16,0.0,0.0
2020-11-16,,0.0
2020-11-17,0.0,0.5
2020-11-17,,0.5
2020-11-18,0.5,16.9
2020-11-18,,16.9
2020-11-19,,0.0
2020-11-19,16.9,0.0
2020-11-20,0.0,0.0
2020-11-20,,0.0
2020-11-21,,0.0
2020-11-21,0.0,0.0
2020-11-22,,0.0
2020-11-22,0.0,0.0
2020-11-23,,0.0
2020-11-23,0.0,0.0
2020-11-24,0.0,0.0
2020-11-24,,0.0
2020-11-25,,0.0
2020-11-25,0.0,0.0
2020-11-26,0.0,0.0
2020-11-26,,0.0
2020-11-27,0.0,0.0
2020-11-27,,0.0
2020-11-28,0.0,0.0
2020-11-28,,0.0
2020-11-29,,0.0
2020-11-29,0.0,0.0
2020-11-30,,0.0
2020-11-30,0.0,0.0
2020-12-01,0.0,1.0
2020-12-01,,1.0
2020-12-02,,0.0
2020-12-02,1.0,0.0
2020-12-03,0.0,0.0
2020-12-03,,0.0
2020-12-04,,0.0
2020-12-04,0.0,0.0
2020-12-05,0.0,0.0
2020-12-05,,0.0
2020-12-06,0.0,0.0
2020-12-06,,0.0
2020-12-07,0.0,0.0
2020-12-07,,0.0
2020-12-08,,0.0
2020-12-08,0.0,0.0
2020-12-09,,0.0
2020-12-09,0.0,0.0
2020-12-10,,0.0
2020-12-10,0.0,0.0
2020-12-11,,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-12,,0.0
2020-12-13,0.0,0.0
2020-12-13,,0.0
2020-12-14,0.0,0.0
2020-12-14,,0.0
2020-12-15,,0.0
2020-12-15,0.0,0.0
2020-12-16,,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-17,,0.0
2020-12-18,0.0,0.0
2020-12-18,,0.0
2020-12-19,0.0,0.0
2020-12-19,,0.0
2020-12-20,0.0,0.0
2020-12-20,,0.0
2020-12-21,,0.0
2020-12-21,0.0,0.0
2020-12-22,,0.0
2020-12-22,0.0,0.0
2020-12-23,,0.0
2020-12-23,0.0,0.0
2020-12-24,,0.0
2020-12-24,0.0,0.0
2020-12-25,,0.0
2020-12-25,0.0,0.0
2020-12-26,,16.7
2020-12-26,0.0,16.7
2020-12-27,16.7,1.8
2020-12-27,,1.8
2020-12-28,1.8,0.0
2020-12-28,,0.0
2020-12-29,0.0,0.0
2020-12-29,,0.0
2020-12-30,0.0,0.0
2020-12-30,,0.0
2020-12-31,,0.0
2020-12-31,,0.0
2021-01-01,,0.0
2021-01-02,0.0,0.0
2021-01-03,0.0,0.1
2021-01-04,0.1,0.4
2021-01-05,0.4,0.0
2021-01-06,0.0,0.0
2021-01-07,0.0,0.0
2021-01-08,0.0,0.0
2021-01-09,0.0,0.0
2021-01-10,0.0,0.0
2021-01-11,0.0,0.0
2021-01-12,0.0,0.0
2021-01-13,0.0,0.0
2021-01-14,0.0,0.0
2021-01-15,0.0,0.0
2021-01-16,0.0,0.0
2021-01-17,0.0,0.0
2021-01-18,0.0,0.0
2021-01-19,0.0,0.0
2021-01-20,0.0,0.0
2021-01-21,0.0,0.0
2021-01-22,0.0,0.0
2021-01-23,0.0,0.0
2021-01-24,0.0,0.0
2021-01-25,0.0,0.0
2021-01-26,0.0,0.0
2021-01-27,0.0,0.0
2021-01-28,0.0,0.0
2021-01-29,0.0,0.0
2021-01-30,0.0,0.0
2021-01-31,0.0,0.0
2021-02-01,0.0,0.0
2021-02-02,0.0,0.0
2021-02-03,0.0,0.0
2021-02-04,0.0,2.7
2021-02-05,2.7,0.0
2021-02-06,0.0,0.0
2021-02-07,0.0,0.0
2021-02-08,0.0,0.0
2021-02-09,0.0,0.0
2021-02-10,0.0,0.0
2021-02-11,0.0,0.0
2021-02-12,0.0,0.0
2021-02-13,0.0,0.0
2021-02-14,0.0,0.0
2021-02-15,0.0,0.0
2021-02-16,0.0,0.0
2021-02-17,0.0,0.0
2021-02-18,0.0,0.0
2021-02-19,0.0,0.0
2021-02-20,0.0,0.0
2021-02-21,0.0,0.0
2021-02-22,0.0,0.0
2021-02-23,0.0,0.0
2021-02-24,0.0,0.0
2021-02-25,0.0,0.0
2021-02-26,0.0,0.0
2021-02-27,0.0,0.0
2021-02-28,0.0,0.0
2021-03-01,0.0,0.0
2021-03-02,0.0,0.0
2021-03-03,0.0,0.0
2021-03-04,0.0,0.0
2021-03-05,0.0,0.0
2021-03-06,0.0,0.0
2021-03-07,0.0,0.0
2021-03-08,0.0,0.0
2021-03-09,0.0,0.0
2021-03-10,0.0,0.0
2021-03-11,0.0,0.2
2021-03-12,0.2,0.0
2021-03-13,0.0,0.0
2021-03-14,0.0,0.0
2021-03-15,0.0,0.0
2021-03-16,0.0,0.0
2021-03-17,0.0,0.0
2021-03-18,0.0,0.0
2021-03-19,0.0,0.0
2021-03-20,0.0,0.0
2021-03-21,0.0,0.0
2021-03-22,0.0,0.0
2021-03-23,0.0,0.0
2021-03-24,0.0,0.0
2021-03-25,0.0,0.0
2021-03-26,0.0,0.0
2021-03-27,0.0,0.0
2021-03-28,0.0,0.0
2021-03-29,0.0,0.0
2021-03-30,0.0,0.0
2021-03-31,0.0,0.0
2021-04-01,0.0,0.0
2021-04-02,0.0,0.0
2021-04-03,0.0,0.0
2021-04-04,0.0,0.0
2021-04-05,0.0,0.0
2021-04-06,0.0,0.0
2021-04-07,0.0,0.0
2021-04-08,0.0,0.0
2021-04-09,0.0,0.0
2021-04-10,0.0,0.0
2021-04-11,0.0,0.0
2021-04-12,0.0,0.0
2021-04-13,0.0,0.0
2021-04-14,0.0,0.0
2021-04-15,0.0,0.0
2021-04-16,0.0,0.0
2021-04-17,0.0,0.0
2021-04-18,0.0,0.0
2021-04-19,0.0,0.0
2021-04-20,0.0,0.0
2021-04-21,0.0,0.0
2021-04-22,0.0,0.0
2021-04-23,0.0,0.0
2021-04-24,0.0,0.0
2021-04-25,0.0,0.0
2021-04-26,0.0,0.0
2021-04-27,0.0,0.0
2021-04-28,0.0,0.0
2021-04-29,0.0,0.0
2021-04-30,0.0,0.0
2021-05-01,0.0,0.0
2021-05-02,0.0,0.0
2021-05-03,0.0,0.0
2021-05-04,0.0,0.0
2021-05-05,0.0,0.0
2021-05-06,0.0,0.0
2021-05-07,0.0,0.0
2021-05-08,0.0,0.0
2021-05-09,0.0,0.0
2021-05-10,0.0,0.0
2021-05-11,0.0,0.0
2021-05-12,0.0,0.0
2021-05-13,0.0,0.0
2021-05-14,0.0,0.0
2021-05-15,0.0,0.0
2021-05-16,0.0,0.0
2021-05-17,0.0,18.8
2021-05-18,18.8,23.0
2021-05-19,23.0,1.4
2021-05-20,1.4,0.0
2021-05-21,0.0,0.0
2021-05-22,0.0,0.0
2021-05-23,0.0,0.0
2021-05-24,0.0,0.0
2021-05-25,0.0,0.0
2021-05-26,0.0,0.0
2021-05-27,0.0,0.5
2021-05-28,0.5,0.1
2021-05-29,0.1,0.0
2021-05-30,0.0,0.0
2021-05-31,0.0,0.7
2021-06-01,0.7,0.3
2021-06-02,0.3,0.0
2021-06-03,0.0,0.0
2021-06-04,0.0,0.0
2021-06-05,0.0,0.0
2021-06-06,0.0,0.0
2021-06-07,0.0,0.0
2021-06-08,0.0,0.0
2021-06-09,0.0,0.8
2021-06-10,0.8,13.8
2021-06-11,13.8,17.3
2021-06-12,17.3,1.7
2021-06-13,1.7,6.2
2021-06-14,6.2,0.2
2021-06-15,0.2,1.6
2021-06-16,1.6,0.8
2021-06-17,0.8,27.4
2021-06-18,27.4,10.1
2021-06-19,10.1,3.1
2021-06-20,3.1,0.7
2021-06-21,0.7,0.3
2021-06-22,0.3,2.7
2021-06-23,2.7,2.2
2021-06-24,2.2,0.4
2021-06-25,0.4,0.7
2021-06-26,0.7,1.9
2021-06-27,1.9,0.4
2021-06-28,0.4,0.0
2021-06-29,0.0,0.0
2021-06-30,0.0,0.1
2021-07-01,0.1,0.0
2021-07-02,0.0,1.6
2021-07-03,1.6,0.0
2021-07-04,0.0,0.0
2021-07-05,0.0,0.0
2021-07-06,0.0,0.0
2021-07-07,0.0,0.3
2021-07-08,0.3,5.6
2021-07-09,5.6,3.0
2021-07-10,3.0,22.9
2021-07-11,22.9,4.4
2021-07-12,4.4,2.7
2021-07-13,2.7,0.6
2021-07-14,0.6,1.1
2021-07-15,1.1,0.7
2021-07-16,0.7,5.1
2021-07-17,5.1,41.0
2021-07-18,41.0,9.8
2021-07-19,9.8,6.8
2021-07-20,6.8,11.6
2021-07-21,11.6,9.3
2021-07-22,9.3,6.6
2021-07-23,6.6,4.5
2021-07-24,4.5,0.6
2021-07-25,0.6,3.4
2021-07-26,3.4,34.3
2021-07-27,34.3,22.0
2021-07-28,22.0,52.2
2021-07-29,52.2,3.5
2021-07-30,3.5,14.5
2021-07-31,14.5,11.2
2021-08-01,11.2,1.1
2021-08-02,1.1,0.3
2021-08-03,0.3,0.9
2021-08-04,0.9,1.1
2021-08-05,1.1,5.9
2021-08-06,5.9,14.6
2021-08-07,14.6,13.9
2021-08-08,13.9,18.2
2021-08-09,18.2,20.7
2021-08-10,20.7,0.5
2021-08-11,0.5,0.0
2021-08-12,0.0,0.0
2021-08-13,0.0,0.1
2021-08-14,0.1,0.4
2021-08-15,0.4,0.2
2021-08-16,0.2,0.5
2021-08-17,0.5,7.5
2021-08-18,7.5,19.9
2021-08-19,19.9,22.8
2021-08-20,22.8,5.7
2021-08-21,5.7,7.7
2021-08-22,7.7,6.4
2021-08-23,6.4,2.5
2021-08-24,2.5,6.5
2021-08-25,6.5,0.0
2021-08-26,0.0,0.0
2021-08-27,0.0,1.3
2021-08-28,1.3,10.5
2021-08-29,10.5,13.5
2021-08-30,13.5,6.0
2021-08-31,6.0,3.3
2021-09-01,3.3,1.5
2021-09-02,1.5,9.7
2021-09-03,9.7,5.8
2021-09-04,5.8,1.4
2021-09-05,1.4,2.3
2021-09-06,2.3,1.1
2021-09-07,1.1,5.4
2021-09-08,5.4,8.6
2021-09-09,8.6,17.9
2021-09-10,17.9,6.7
2021-09-11,6.7,17.0
2021-09-12,17.0,6.4
2021-09-13,6.4,7.2
2021-09-14,7.2,46.1
2021-09-15,46.1,65.2
2021-09-16,65.2,8.3
2021-09-17,8.3,1.0
2021-09-18,1.0,0.1
2021-09-19,0.1,0.7
2021-09-20,0.7,7.9
2021-09-21,7.9,2.2
2021-09-22,2.2,3.7
2021-09-23,3.7,21.1
2021-09-24,21.1,40.9
2021-09-25,40.9,21.2
2021-09-26,21.2,1.0
2021-09-27,1.0,0.3
2021-09-28,0.3,0.1
2021-09-29,0.1,0.5
2021-09-30,0.5,1.0
